"Issue Type","Summary","Description","Priority"
"Epic","E01: Foundations & Architecture","Initial setup of the Monorepo, Docker infrastructure, and DevOps pipelines based on NestJS Modular Monolith architecture.","High"
"Task","[Env] Initialize NestJS Monorepo","Setup the main NestJS project and creating the 4 module folders (Auth, Catalog, Inventory, Orders). Verify tsconfig.json strict mode.","High"
"Task","[Env] Docker Compose Setup","Create docker-compose.yml with PostgreSQL and PgAdmin. Ensure persistence volumes are configured.","High"
"Task","[DB] Prisma Init","Initialize Prisma Schema, configure datasource provider to PostgreSQL, and create the initial migration.","High"
"Task","[DevOps] GitHub Actions Pipeline","Configure .github/workflows/ci.yml to run Linting and Unit Tests on every push.","Medium"

"Epic","E02: Identity Domain (Auth)","Handling User Registration, Secure Login (JWT), and Role-Based Access Control (RBAC).","High"
"Story","[Auth] User Registration","As a new client, I want to create an account with a hashed password so that I can save my data securely.","High"
"Task","[Auth] Implement User Entity","Define User model in Prisma with email, passwordHash, and Role enum.","High"
"Task","[Auth] Bcrypt Service","Implement AuthService.hashPassword() using bcrypt to salt and hash passwords.","High"
"Story","[Auth] User Login","As a user, I want to log in and receive a JWT so that I can access protected account features.","High"
"Task","[Auth] JWT Strategy","Implement Passport LocalStrategy for credential validation and JwtStrategy for token extraction. Configured Guards.","High"

"Epic","E03: Display Domain (Catalog)","Public product browsing, searching, and filtering capabilities.","Medium"
"Story","[Catalog] Browse Products","As a visitor, I want to view a paginated list of products to discover what is for sale.","Medium"
"Story","[Catalog] Search & Filter","As a visitor, I want to filter products by Category and Price Range to find specific items.","Medium"
"Task","[Catalog] Product Seeder","Create a seed script to populate the database with dummy products for testing.","Low"
"Task","[Catalog] Pagination Pipe","Implement a custom Pipe or DTO transformation to handle `?page=1&limit=10` query params.","Medium"
"Task","[Catalog] Caching Interceptor","Implement Interceptor to cache GET /products responses for 60 seconds (Performance).","Low"

"Epic","E04: Storage Domain (Inventory)","Managing physical stock counts and reservations.","High"
"Story","[Inventory] Admin Stock Update","As an admin, I want to manually adjust the stock of an SKU to correct discrepancies after a supply arrival.","Medium"
"Story","[Inventory] Low Stock Alert","As an admin, I want to see a list of items with low stock to reorder in time.","Low"
"Task","[Inventory] Reserve Logic","Implement `reserveStock(sku, qty)` method that atomically increments `reserved` count. Check `physical - reserved >= qty`.","High"

"Epic","E05: Workflow Domain (Orders)","The core transaction engine handling purchases and lifecycle.","High"
"Story","[Orders] Place Order","As a client, I want to validate my cart and place an order, receiving a trusted total price.","High"
"Task","[Orders] Price Calculator Service","Implement logic to fetch fresh prices from DB (not trust Frontend) and calculate Taxes.","High"
"Task","[Orders] Transactional Creation","Wrap `checkStock`, `reserveStock`, and `createOrder` inside `prisma.$transaction` for ACID compliance.","High"
"Story","[Orders] Order History","As a client, I want to see a list of my past orders and their status (Pending, Paid).","Low"

"Epic","E06: Bonus - Microservices Transition","Migration from Modular Monolith to Distributed System using RabbitMQ.","Low"
"Task","[Micro] RabbitMQ Setup","Add RabbitMQ service to docker-compose and configure default exchange/queues.","High"
"Task","[Micro] Extract Orders App","Move Orders Module to a standalone NestJS app (`apps/orders`) with its own `main.ts`.","High"
"Task","[Micro] Extract Inventory App","Move Inventory Module to a standalone NestJS app (`apps/inventory`).","High"
"Task","[Micro] Shared Library","Create `@app/shared` lib to hold `OrderCreatedEvent` DTO and share it between apps.","High"
"Task","[Micro] Event Patterns","Replace direct service calls with `ClientProxy.emit('order.created')` in Orders and `@EventPattern` in Inventory.","High"
